title,url,discounted_price,original_price
Xiaomi 3D Men Electric Shaver Razor Enchen BlackStone3 IPX7 Waterproof,https://www.cigabuy.com/xiaomi-3d-men-electric-shaver-razor-enchen-blackstone3-ipx7-waterproof-p-20146.html,,
Authentic Joyetech Riftcore Duo RTA 3.5ML - Black,https://www.cigabuy.com/authentic-joyetech-riftcore-duo-rta-35ml-black-p-12623.html,$1.18,$49.99 
Authentic Uwell Crown 3 5ML Sub-Ohm Tank Atomizer - Blue,https://www.cigabuy.com/authentic-uwell-crown-3-5ml-sub-ohm-tank-atomizer-blue-p-21145.html,$4.97,$6.02 
Authentic Uwell Crown Pod 1250mAh Pod System Kit - Grey,https://www.cigabuy.com/authentic-uwell-crown-pod-1250mah-pod-system-kit-grey-p-16657.html,$1.18,$37.91 
10 x SEA WOLF V3 Cleaning Organic Cotton Wick for E-cigarette,https://www.cigabuy.com/10-x-sea-wolf-v3-cleaning-organic-cotton-wick-for-e-cigarette-p-14912.html,,
10pcs Authentic Wotofo Agleted Organic Cotton 6mm,https://www.cigabuy.com/10pcs-authentic-wotofo-agleted-organic-cotton-6mm-p-13261.html,$3.03,$4.74 
Authentic Uwell Crown Pod 1250mAh Pod System Kit - Blue,https://www.cigabuy.com/authentic-uwell-crown-pod-1250mah-pod-system-kit-blue-p-16658.html,$7.71,$37.91 
Authentic Uwell Crown 3 5ML Sub-Ohm Tank Atomizer - Blue,https://www.cigabuy.com/authentic-uwell-crown-3-5ml-sub-ohm-tank-atomizer-blue-p-10250.html,$1.18,$32.82 
Authentic Uwell Crown Pod 1250mAh Pod System Kit - Grey,https://www.cigabuy.com/authentic-uwell-crown-pod-1250mah-pod-system-kit-grey-p-18906.html,$10.99,$12.93 
10 x SHOELACE Vape Cotton for RBA Atomizer DIY Building,https://www.cigabuy.com/10-x-shoelace-vape-cotton-for-rba-atomizer-diy-building-p-14573.html,$1.59,$3.24 
Authentic Uwell Caliburn Pod System 520mAh Kit - Black,https://www.cigabuy.com/authentic-uwell-caliburn-pod-system-520mah-kit-black-p-14097.html,$15.61,$32.04 
Authentic Joyetech Riftcore Duo RTA 3.5ML - Blue,https://www.cigabuy.com/authentic-joyetech-riftcore-duo-rta-35ml-blue-p-12624.html,$1.18,$50.07 
Authentic Uwell Crown Pod 1250mAh Pod System Kit - Black,https://www.cigabuy.com/authentic-uwell-crown-pod-1250mah-pod-system-kit-black-p-18855.html,$10.73,$12.41 
Send Money for Special Payments -Different Fees as Description,https://www.cigabuy.com/send-money-for-special-payments-different-fees-as-description-p-2873.html,,
1.6ml eGo-CE4 Clearomizer Plastic Drip Tip,https://www.cigabuy.com/16ml-ego-ce4-clearomizer-plastic-drip-tip-p-960.html,,
5 x Authentic Wotofo nexMESH Clapton Ni80 + A1 0.2ohm Coil,https://www.cigabuy.com/5-x-authentic-wotofo-nexmesh-clapton-ni80-a1-02ohm-coil-p-19390.html,$4.85,$10.67 
Authentic Uwell Crown Pod 1250mAh Pod System Kit - Red,https://www.cigabuy.com/authentic-uwell-crown-pod-1250mah-pod-system-kit-red-p-16659.html,$7.71,$37.91 
Authentic Uwell Crown 3 5ML Sub-Ohm Tank Atomizer - Purple,https://www.cigabuy.com/authentic-uwell-crown-3-5ml-sub-ohm-tank-atomizer-purple-p-10648.html,$1.18,$22.68 
Authentic Wotofo Profile RDTA  - Black,https://www.cigabuy.com/authentic-wotofo-profile-rdta-black-p-19384.html,$25.54,$42.87 
100 x Authentic E-XY Ni80 Pre-built 20GA 0.2Ω Coil Wire,https://www.cigabuy.com/100-x-authentic-e-xy-ni80-pre-built-20ga-02Ω-coil-wire-p-12462.html,,
50pcs Authentic Wotofo Agleted Organic Cotton 6mm - 10pcs/pack,https://www.cigabuy.com/50pcs-authentic-wotofo-agleted-organic-cotton-6mm-10pcspack-p-14652.html,$12.03,$14.96 
60pcs Demon Killer Slacker Cotton for RTA Building,https://www.cigabuy.com/60pcs-demon-killer-slacker-cotton-for-rta-building-p-13049.html,,
1300mAh Rechargeable Battery for E-Cigarette,https://www.cigabuy.com/1300mah-rechargeable-battery-for-e-cigarette-p-1064.html,,
100 LED Solar Light  Solar Lamp Powered Sunlight 3 Modes PIR Motion Sensor,https://www.cigabuy.com/100-led-solar-light-solar-lamp-powered-sunlight-3-modes-pir-motion-sensor-p-19318.html,,
10 x Vandy Vape Ni80 Triple Fused Clapton Coil 28ga*3+38ga 0.41ohm,https://www.cigabuy.com/10-x-vandy-vape-ni80-triple-fused-clapton-coil-28ga338ga-041ohm-p-16390.html,$1.19,$5.08 
10 x E-XY NI80 Double-Core Fused Clapton Premade Coil Wire 0.45ohm,https://www.cigabuy.com/10-x-e-xy-ni80-double-core-fused-clapton-premade-coil-wire-045ohm-p-14629.html,,
Authentic Uwell Crown 3 5ML Sub-Ohm Tank Atomizer - Purple,https://www.cigabuy.com/authentic-uwell-crown-3-5ml-sub-ohm-tank-atomizer-purple-p-21146.html,$5.04,$6.02 
Authentic Uwell Caliburn G POD kit - Grey,https://www.cigabuy.com/authentic-uwell-caliburn-g-pod-kit-grey-p-19938.html,$18.37,$21.04 
5 x Authentic VOOPOO PnP-VM3 Single Mesh Coil 0.45ohm,https://www.cigabuy.com/5-x-authentic-voopoo-pnp-vm3-single-mesh-coil-045ohm-p-18288.html,$9.74,$13.74 
Authentic Steam Crave Hadron Pro DNA250C 400W MOD - Silver,https://www.cigabuy.com/authentic-steam-crave-hadron-pro-dna250c-400w-mod-silver-p-21504.html,,
5-in-1 Survival Bracelet Fire Starter Whistle Buckle Scraper Knife - Black,https://www.cigabuy.com/5-in-1-survival-bracelet-fire-starter-whistle-buckle-scraper-knife-black-p-21355.html,$1.18,$5.96 
Authentic Joyetech Riftcore Duo RTA 3.5ML - Gold,https://www.cigabuy.com/authentic-joyetech-riftcore-duo-rta-35ml-gold-p-12625.html,$1.18,$18.65 
50pcs SEA WOLF V3 Cleaning Organic Cotton Wick for E-cigarette 10pcs/pack,https://www.cigabuy.com/50pcs-sea-wolf-v3-cleaning-organic-cotton-wick-for-e-cigarette-10pcspack-p-21220.html,$1.18,$4.49 
8pcs Authentic Uwell Crown Pod Repalcement Cartridge 1.0ohm 2pcs/pack,https://www.cigabuy.com/8pcs-authentic-uwell-crown-pod-repalcement-cartridge-10ohm-2pcspack-p-21684.html,$23.19,$29.43 
Authentic Geekvape Feather Organic Cotton 20pcs,https://www.cigabuy.com/authentic-geekvape-feather-organic-cotton-20pcs-p-14403.html,,
10pcs Authentic OFRF nexMESH Coil 0.15ohm,https://www.cigabuy.com/10pcs-authentic-ofrf-nexmesh-coil-015ohm-p-15479.html,,
5 x Authentic Vaporesso GTX 0.2ohm Mesh Coil,https://www.cigabuy.com/5-x-authentic-vaporesso-gtx-02ohm-mesh-coil-p-20208.html,,
10 x Authentic VandyVape Vape Cotton Laces,https://www.cigabuy.com/10-x-authentic-vandyvape-vape-cotton-laces-p-16387.html,$2.64,$4.43 
Authentic Uwell Crown Pod 1250mAh Pod System Kit - Black+Grey,https://www.cigabuy.com/authentic-uwell-crown-pod-1250mah-pod-system-kit-blackgrey-p-21240.html,$15.20,$19.47 
Authentic VOOPOO Argus 40W Pod Kit - Vintage Grey & Black Silver,https://www.cigabuy.com/authentic-voopoo-argus-40w-pod-kit-vintage-grey-black-silver-p-20193.html,$26.08,$27.40 
Authentic VOOPOO Argus GT 160W TC Kit - Carbon fiber,https://www.cigabuy.com/authentic-voopoo-argus-gt-160w-tc-kit-carbon-fiber-p-19277.html,$40.08,$43.36 
LED Flashlight Waterproof Torch 3 lighting modes Zoomable camping light,https://www.cigabuy.com/led-flashlight-waterproof-torch-3-lighting-modes-zoomable-camping-light-p-20068.html,,
Authentic Geekvape Z50 Kit - Black,https://www.cigabuy.com/authentic-geekvape-z50-kit-black-p-21333.html,,
Authentic Wotofo Profile RDTA  - Gunmetal,https://www.cigabuy.com/authentic-wotofo-profile-rdta-gunmetal-p-19385.html,$24.76,$43.30 
Authentic Steam Crave Aromamizer Plus V2 RDTA Advanced Kit - Black,https://www.cigabuy.com/authentic-steam-crave-aromamizer-plus-v2-rdta-advanced-kit-black-p-18331.html,$44.16,$70.32 
2 x 1300mAh Rechargeable Battery for E-cigarette,https://www.cigabuy.com/2-x-1300mah-rechargeable-battery-for-e-cigarette-p-894.html,,
10 x Authentic Wotofo Quad Core Fused Clapton Prebuilt Wire 0.26ohm,https://www.cigabuy.com/10-x-authentic-wotofo-quad-core-fused-clapton-prebuilt-wire-026ohm-p-14312.html,,
3 x Authentic VGOD STIG XL 700 Puffs DISPOSABLE POD Kit - PURPLE BOMB ICED,https://www.cigabuy.com/3-x-authentic-vgod-stig-xl-700-puffs-disposable-pod-kit-purple-bomb-iced-p-21115.html,$16.26,$17.07 
Authentic Steam Crave Hadron Pro DNA250C 400W MOD - Gunmetal,https://www.cigabuy.com/authentic-steam-crave-hadron-pro-dna250c-400w-mod-gunmetal-p-21506.html,,
Authentic Uwell Crown Pod 1250mAh Pod System Kit - Black+Red,https://www.cigabuy.com/authentic-uwell-crown-pod-1250mah-pod-system-kit-blackred-p-21245.html,$15.20,$19.47 
Authentic 5pcs Joyetech CUBIS BF SS316 Coil Head 0.5ohm,https://www.cigabuy.com/authentic-5pcs-joyetech-cubis-bf-ss316-coil-head-05ohm-p-8431.html,,
8pcs Authentic Uwell Crown Pod Repalcement Cartridge 0.6ohm 2pcs/pack,https://www.cigabuy.com/8pcs-authentic-uwell-crown-pod-repalcement-cartridge-06ohm-2pcspack-p-21683.html,$21.28,$27.61 
Authentic Geekvape Wenax Stylus Pod Starter Kit - Classic Black,https://www.cigabuy.com/authentic-geekvape-wenax-stylus-pod-starter-kit-classic-black-p-19295.html,$14.69,$23.84 
Authentic Uwell Caliburn G POD kit - Rosy Brown,https://www.cigabuy.com/authentic-uwell-caliburn-g-pod-kit-rosy-brown-p-19940.html,$20.49,$32.51 
Authentic Geekvape Wenax Stylus Pod Starter Kit - Space Gray,https://www.cigabuy.com/authentic-geekvape-wenax-stylus-pod-starter-kit-space-gray-p-19299.html,$14.87,$23.84 
10 x Authentic Wotofo nexMESH TURBO A1 Wire 0.13ohm,https://www.cigabuy.com/10-x-authentic-wotofo-nexmesh-turbo-a1-wire-013ohm-p-16533.html,,
Authentic VOOPOO PnP Pod Tank 4.5ml - Stainless Steel,https://www.cigabuy.com/authentic-voopoo-pnp-pod-tank-45ml-stainless-steel-p-20117.html,,
10 x Authentic Wotofo Dual Core Fused Clapton Prebuilt Wire 0.28ohm,https://www.cigabuy.com/10-x-authentic-wotofo-dual-core-fused-clapton-prebuilt-wire-028ohm-p-14309.html,,
Authentic Uwell Caliburn G POD kit - Black,https://www.cigabuy.com/authentic-uwell-caliburn-g-pod-kit-black-p-19935.html,$20.49,$32.51 
Authentic Wotofo SMRT Pod Kit - Black Blue,https://www.cigabuy.com/authentic-wotofo-smrt-pod-kit-black-blue-p-20630.html,$21.41,$39.87 
4 x Authentic Uwell Nunchaku 2 SS316L UN2 Meshed-H 0.14ohm Coil,https://www.cigabuy.com/4-x-authentic-uwell-nunchaku-2-ss316l-un2-meshed-h-014ohm-coil-p-16225.html,,
X96Q Android 10 TV Box Quad Core Allwinner H313 4K 2GB RAM 16GB ROM,https://www.cigabuy.com/x96q-android-10-tv-box-quad-core-allwinner-h313-4k-2gb-ram-16gb-rom-p-18997.html,$21.69,$37.53 
Authentic Damn Vape x DeucesJack Mongrel RDA - Gunmetal,https://www.cigabuy.com/authentic-damn-vape-x-deucesjack-mongrel-rda-gunmetal-p-20403.html,,
Authentic Uwell Caliburn G POD kit - Red,https://www.cigabuy.com/authentic-uwell-caliburn-g-pod-kit-red-p-19937.html,$20.49,$32.51 
Authentic VOOPOO V.SUIT Pod System Kit - Blue,https://www.cigabuy.com/authentic-voopoo-vsuit-pod-system-kit-blue-p-19835.html,$21.69,$24.47 
Authentic Geekvape Aegis X 200W TC Box Mod - Gunmetal Camo,https://www.cigabuy.com/authentic-geekvape-aegis-x-200w-tc-box-mod-gunmetal-camo-p-16063.html,$49.61,$79.94 
Authentic Vaporesso GTX GO 80 Kit - Matte Grey,https://www.cigabuy.com/authentic-vaporesso-gtx-go-80-kit-matte-grey-p-21288.html,,
QCY A1 Wireless Bluetooth Business Headset Portable Stereo Headphone - Black,https://www.cigabuy.com/qcy-a1-wireless-bluetooth-business-headset-portable-stereo-headphone-black-p-21673.html,$4.17,$14.53 
Authentic VOOPOO Argus Pro 80W Pod Kit - Denim & Silver,https://www.cigabuy.com/authentic-voopoo-argus-pro-80w-pod-kit-denim-silver-p-20196.html,$23.55,$29.04 
Authentic Eleaf iStick Power 2 80W MOD - Red,https://www.cigabuy.com/authentic-eleaf-istick-power-2-80w-mod-red-p-20761.html,$31.93,$32.93 
Authentic Uwell Crown Pod 1250mAh Pod System Kit - Black+Blue,https://www.cigabuy.com/authentic-uwell-crown-pod-1250mah-pod-system-kit-blackblue-p-21244.html,$15.20,$19.47 
Authentic VOOPOO Argus Pro 80W Pod Kit - Litchi Leather & Blue,https://www.cigabuy.com/authentic-voopoo-argus-pro-80w-pod-kit-litchi-leather-blue-p-20197.html,$29.04,$29.86 
12V 150W Mini Portable Car Air Purification Heater Demisting Defroster 2 Gears,https://www.cigabuy.com/12v-150w-mini-portable-car-air-purification-heater-demisting-defroster-2-gears-p-20450.html,,
12pcs Uwell Crown Pod 0.6Ω + 1pcs Free Crown Pod 1250mAh Kit Black,https://www.cigabuy.com/12pcs-uwell-crown-pod-06Ω-1pcs-free-crown-pod-1250mah-kit-black-p-21163.html,$41.72,$49.84 
Men Wallets Retro Frosted PU Wallet Two Folding Male Purse Credit Card Holder,https://www.cigabuy.com/men-wallets-retro-frosted-pu-wallet-two-folding-male-purse-credit-card-holder-p-19637.html,,
