title,year,duration,rating,movie_url
Shichinin no samurai,1954,3h 27min,8.6,https://www.imdb.com/title/tt0047478/
Seppuku,1962,2h 13min,8.6,https://www.imdb.com/title/tt0056058/
Se7en,1995,2h 7min,8.6,https://www.imdb.com/title/tt0114369/
The Silence of the Lambs,1991,1h 58min,8.6,https://www.imdb.com/title/tt0102926/
It's a Wonderful Life,1946,2h 10min,8.6,https://www.imdb.com/title/tt0038650/
The Shawshank Redemption,1994,2h 22min,9.3,https://www.imdb.com/title/tt0111161/
Star Wars,1977,2h 1min,8.6,https://www.imdb.com/title/tt0076759/
Ratsasan,2018,2h 50min,8.5,https://www.imdb.com/title/tt7060344/
The Green Mile,1999,3h 9min,8.6,https://www.imdb.com/title/tt0120689/
La vita è bella,1997,1h 56min,8.6,https://www.imdb.com/title/tt0118799/
Sen to Chihiro no kamikakushi,2001,2h 5min,8.6,https://www.imdb.com/title/tt0245429/
One Flew Over the Cuckoo's Nest,1975,2h 13min,8.7,https://www.imdb.com/title/tt0073486/
Gisaengchung,2019,2h 12min,8.6,https://www.imdb.com/title/tt6751668/
Cidade de Deus,2002,2h 10min,8.6,https://www.imdb.com/title/tt0317248/
Interstellar,2014,2h 49min,8.6,https://www.imdb.com/title/tt0816692/
Saving Private Ryan,1998,2h 49min,8.6,https://www.imdb.com/title/tt0120815/
Rear Window,1954,1h 52min,8.5,https://www.imdb.com/title/tt0047396/
Pather Panchali,1955,2h 5min,8.5,https://www.imdb.com/title/tt0048473/
Back to the Future,1985,1h 56min,8.5,https://www.imdb.com/title/tt0088763/
Nuovo Cinema Paradiso,1988,2h 35min,8.5,https://www.imdb.com/title/tt0095765/
Hotaru no haka,1988,1h 29min,8.5,https://www.imdb.com/title/tt0095327/
C'era una volta il West,1968,2h 45min,8.5,https://www.imdb.com/title/tt0064116/
Psycho,1960,1h 49min,8.5,https://www.imdb.com/title/tt0054215/
Terminator 2: Judgment Day,1991,2h 17min,8.5,https://www.imdb.com/title/tt0103064/
American History X,1998,1h 59min,8.5,https://www.imdb.com/title/tt0120586/
The Lion King,1994,1h 28min,8.5,https://www.imdb.com/title/tt0110357/
The Usual Suspects,1995,1h 46min,8.5,https://www.imdb.com/title/tt0114814/
The Pianist,2002,2h 30min,8.5,https://www.imdb.com/title/tt0253474/
Léon,1994,1h 50min,8.5,https://www.imdb.com/title/tt0110413/
Gladiator,2000,2h 35min,8.5,https://www.imdb.com/title/tt0172495/
The Departed,2006,2h 31min,8.5,https://www.imdb.com/title/tt0407887/
Toy Story,1995,1h 21min,8.3,https://www.imdb.com/title/tt0114709/
Bacheha-Ye aseman,1997,1h 29min,8.3,https://www.imdb.com/title/tt0118849/
Good Will Hunting,1997,2h 6min,8.3,https://www.imdb.com/title/tt0119217/
American Beauty,1999,2h 2min,8.3,https://www.imdb.com/title/tt0169547/
Requiem for a Dream,2000,1h 42min,8.3,https://www.imdb.com/title/tt0180093/
Snatch,2000,1h 44min,8.3,https://www.imdb.com/title/tt0208092/
Le fabuleux destin d'Amélie Poulain,2001,2h 2min,8.3,https://www.imdb.com/title/tt0211915/
Babam ve Oglum,2005,1h 52min,8.3,https://www.imdb.com/title/tt0476735/
Eternal Sunshine of the Spotless Mind,2004,1h 48min,8.3,https://www.imdb.com/title/tt0338013/
Inglourious Basterds,2009,2h 33min,8.3,https://www.imdb.com/title/tt0361748/
Kimetsu no Yaiba: Mugen Ressha-Hen,2020,,8.3,https://www.imdb.com/title/tt11032374/
